"Variable / Field Name";"Form Name";"Section Header";"Field Type";"Field Label";"Choices, Calculations, OR Slider Labels";"Field Note";"Text Validation Type OR Show Slider Number";"Text Validation Min";"Text Validation Max";Identifier?;"Branching Logic (Show field only if...)";"Required Field?";"Custom Alignment";"Question Number (surveys only)";"Matrix Group Name";"Matrix Ranking?";"Field Annotation"
father_smoke;dp_next;;radio;"Ryger/røg din far?";"1, Ja | 2, Ja, men han er stoppet | 0, Nej | 99, Ved ikke";;;;;;"([delphi_parents_known] = '1' or [delphi_parents_known] = '3') and ([participate] = '1')";;LV;;;;"did the participant's father smoke"
delphi_father_smoke_stoped;dp_next;;text;"Hvor mange år tror du ca. din far røg? ";;"Skriv antal år i hele tal (fx 16)";number;1;100;;"([father_smoke]=1 or [father_smoke]=2) and ([participate] = '1')";;;;;;
mother;dp_next;;descriptive;"<div class=""rich-text-field-label""><p><span style=""font-size: 12pt;"">Følgende spørgsmål handler om din mors helbredshistorik</span></p></div>";;;;;;;"([delphi_parents_known] = '2' or [delphi_parents_known] = '3') and ([participate] = '1')";;;;;;
delphi_mother_health;dp_next;;descriptive;"Har/havde din mor nogle af følgende helbredsproblemer?";;;;;;;"([delphi_parents_known] = '2' or [delphi_parents_known] = '3') and ([participate] = '1')";;;;;;
mother_alcohol_substance;dp_next;;radio;"Alkohol og/eller stofmisbrug";"1, Ja | 0, Nej | 99, Ved ikke";;;;;;"([delphi_parents_known] = '2' or [delphi_parents_known] = '3') and ([participate] = '1')";;;;mg_ec2dba;;"did the participant's mother drink or use drugs"
mother_overweight;dp_next;;radio;Overvægt;"1, Ja | 0, Nej | 99, Ved ikke";;;;;;"([delphi_parents_known] = '2' or [delphi_parents_known] = '3') and ([participate] = '1')";;;;mg_ec2dba;;"was the participant's mother overweight"
body_type_2;dp_next;;descriptive;"Nedenfor ses en række figurer, der illustrerer forskellige kropsbygninger:";;;;;;;"([delphi_parents_known] = '2' or [delphi_parents_known] = '3') and ([participate] = '1')";;;;;;
body_number_mother;dp_next;;radio;"Sæt markering ved det nummer, der kommer tættest på din mors kropsbygning ud fra ovenstående illustrationer: ";"1, 1|2, 2|3, 3|4, 4|5, 5|6, 6|7, 7|8, 8|9, 9";;;;;;"([delphi_parents_known] = '2' or [delphi_parents_known] = '3') and ([participate] = '1')";;LV;;;;
mother_diabetes;dp_next;;radio;"Har/havde din mor diabetes";"1, Ja | 0, Nej | 99, Ved ikke";;;;;;"([delphi_parents_known] = '2' or [delphi_parents_known] = '3') and ([participate] = '1')";;LV;;;;
delphi_father_dmtype_2;dp_next;;radio;"Hvilken type diabetes? ";"1, Type-1 diabetes | 2, Type-2 diabetes | 99, Ved ikke hvilken type";;;;;;"([mother_diabetes] =1) and ([participate] = '1')";;LV;;;;
mother_smoke;dp_next;;radio;"Ryger/røg din mor?";"1, Ja | 2, Ja, men hun er stoppet | 3, Nej | 99, Ved ikke";;;;;;"([delphi_parents_known] = '2' or [delphi_parents_known] = '3') and ([participate] = '1')";;LV;;;;"did the participant's mother smoke"
mother_smoke_years;dp_next;;text;"Hvor mange år tror du ca. din mor røg? ";;"Skriv antal år i hele tal (fx 16)";number;1;100;;"([mother_smoke]=1 or [mother_smoke]=2) and ([participate] = '1')";;LV;;;;
family_end;dp_next;"<div class=""rich-text-field-label""><p><span style=""font-size: 14pt;"">Symptomer på depression og angst</span></p></div>";text;;;;datetime_seconds_dmy;;;;;;;;;;" @HIDDEN-SURVEY @NOW"
family_compl_time;dp_next;;calc;;"datediff([social_end],[family_end],""s"",true)";;;;;;;;;;;;" @HIDDEN-SURVEY"
dass_intro;dp_next;;descriptive;"<div class=""rich-text-field-label""><p>Læs venligst hvert udsagn og sæt kryds ud fra det felt, som bedst beskriver, hvor godt du føler udsagnet har passet på dig <span style=""text-decoration: underline;"">i den seneste uge</span>. Der findes ingen rigtige eller forkerte svar. Brug ikke for meget tid på de enkelte udsagn.<br><br><br></p></div>";;;;;;;;;;;;;"Statements that best describe the participant's experience of depression and anxiety."
dass_tense;dp_next;;radio;"Det var svært for mig at slappe af";"0, Passede ikke på mig | 1, Passede en smule eller noget af tiden på mig | 2, Passede I betydelig grad eller en stor del af tiden på mig | 3, Passede rigtigt meget eller det meste af tiden på mig";;;;;;;;;;mg_796547;;"it is hard for the participant to relax"
dass_dry_mouth;dp_next;;radio;"Jeg var opmærksom på tørhed i munden";"0, Passede ikke på mig | 1, Passede en smule eller noget af tiden på mig | 2, Passede I betydelig grad eller en stor del af tiden på mig | 3, Passede rigtigt meget eller det meste af tiden på mig";;;;;;;;;;mg_796547;;"the participant's experiences dry mouth"
dass_pos_feelings;dp_next;;radio;"Jeg kunne ikke opleve nogen som helst positive følelser";"0, Passede ikke på mig | 1, Passede en smule eller noget af tiden på mig | 2, Passede I betydelig grad eller en stor del af tiden på mig | 3, Passede rigtigt meget eller det meste af tiden på mig";;;;;;;;;;mg_796547;;"The participant doesn't experience positive feelings"
dass_diffi_breathing;dp_next;;radio;"Jeg oplevede vejrtrækningsbesvær (fx udtalt hurtig vejrtrækning, åndenød uden fysisk anstrengelse)";"0, Passede ikke på mig | 1, Passede en smule eller noget af tiden på mig | 2, Passede I betydelig grad eller en stor del af tiden på mig | 3, Passede rigtigt meget eller det meste af tiden på mig";;;;;;;;;;mg_796547;;"the participant's experiences respiratory problems"
dass_lack_motiv;dp_next;;radio;"Jeg fandt det svært at tage initiativ til at foretage mig noget";"0, Passede ikke på mig | 1, Passede en smule eller noget af tiden på mig | 2, Passede I betydelig grad eller en stor del af tiden på mig | 3, Passede rigtigt meget eller det meste af tiden på mig";;;;;;;;;;mg_796547;;"the participant was unable to take initiative"
dass_overreact;dp_next;;radio;"Jeg var tilbøjelig til at overreagere på situationer";"0, Passede ikke på mig | 1, Passede en smule eller noget af tiden på mig | 2, Passede I betydelig grad eller en stor del af tiden på mig | 3, Passede rigtigt meget eller det meste af tiden på mig";;;;;;;;;;mg_796547;;"the participant overreacts"
